No,Fe,Cr,Mn,Si,Co,Mo,Ni,C,N,B,P,S,Al,Ti,Nb,Ta,Pb,Cu,Pre-irr,Irr,Temp,Stre,Dis,Swell
552,66.6571,16.887,1.06212,0.407172,0.0971034,2.35862,12.3267,0.0475724,0.0416046,0.000719771,0.01,0.00680919,0.000763221,0.000572416,0.00190805,0,0,0.0942758,3.05066,7.47834,586.991,19.8437,1320960000000000.00,4.06533
553,66.0161,16.7235,1.27669,0.455139,0.0546952,2.41039,12.8039,0.0887839,0.0582091,0.00165471,0.0104972,0.00699446,0.00201108,0.00150831,0.00502771,0,0,0.0849169,1.90936,8.67127,539.557,47.7632,165083000000000.00,5.04922
554,65.0539,16.64,1.52105,0.944911,0.0749969,2.48001,13.0131,0.0555009,0.0331985,0.000404948,0.0184007,0.0126005,0.00700062,0.0140012,0.00700062,0.0140012,0.0140012,0.0959988,0,10.3917,432.903,0,1167090000000000.00,5.41549
555,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,14,538.167,0,1335130000000000.00,8.45339
556,65.1561,16.4309,1.76125,0.508618,0.0572362,2.50862,13.2901,0.0595394,0.0250787,0.000258249,0.0214472,0.0145854,0.00972362,0.0192169,0.01,0.0190787,0.0190787,0.0890787,0,7.6526,582.584,6.21854,1916160000000000.00,0.765324
557,66.7422,16.7929,1.13097,0.431107,0.0284429,2.35221,12.2938,0.0473772,0.0441453,0.000820588,0.0125329,0.00868858,0.00211073,0.00422146,0.00211073,0.00422146,0.00422146,0.0978893,0,5.37703,499.18,0,353080000000000.00,0.673564
558,66.5113,16.9272,1.09499,0.401773,0.0860498,2.35484,12.3892,0.110235,0.00678227,0.00140482,0.0115645,0.00756454,0.000870916,0.000653187,0.00217729,0,0,0.0934681,2.94916,7.62569,588.429,0,1591910000000000.00,5.54999
559,65.4131,16.4764,1.55067,0.477596,0.00528869,2.47327,13.4327,0.0537502,0.0110483,0.00241827,0.0100481,0.00609616,0.00380768,0.00285576,0.00951921,0,0,0.0714424,0.184623,4.78462,438.183,128.509,178558000000000.00,6.06895
560,65.111,16.4383,1.75799,0.508242,0.0607324,2.50766,13.2599,0.0597656,0.0264248,0.000166844,0.0218389,0.0148975,0.00985353,0.0197071,0.00985353,0.0197071,0.0197071,0.154154,0,13.8466,518.728,0,1569350000000000.00,14.2831
561,65.5191,17.0552,0.945544,1.44633,0.107369,2.38239,12.3287,0.0441435,0.0528521,0.000743045,0.01,0.00795217,9.57E-05,7.17E-05,0.00023914,0,0,0.0992826,3.44558,8.451,616.174,3.80232,180000000000000.00,15.1073
562,65.6455,16.5236,1.59935,0.405947,0.0704053,2.46838,13.0095,0.0570865,0.0314108,0.000347701,0.0195027,0.0135433,0.00791894,0.0158379,0.00791894,0.0158379,0.0158379,0.0920811,0.734614,12.8429,483.002,0,1296570000000000.00,2.91995
563,65.2974,16.4449,1.62814,0.487601,0.0152028,2.4876,13.4443,0.0525338,0.0110676,0.00190456,0.0130406,0.00828041,0.00552028,0.00730745,0.01,0.00506759,0.00506759,0.0750676,0,10.1922,516.504,94.8208,537265000000000.00,0.14027
564,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,10.8434,494.636,0,1251380000000000.00,6.29281
565,64.2775,16.9296,3.53531,0.393423,0.101635,2.33513,12.1975,0.0466769,0.0509808,0.00102433,0.011175,0.00833845,0.00167306,0.00334613,0.00167306,0.00334613,0.00334613,0.0983269,0,3.88277,441.519,0,415902000000000.00,2.57583
566,67.4803,16.8959,0.950884,0.0426958,0.11,2.31088,11.9888,0.0531577,0.0480235,0.0011,0.0101767,0.008,0,0,0,0,0,0.1,3.55121,8.44,620,0,270134000000000.00,12.535
567,65.7115,16.5211,1.47579,0.402253,0.0181962,2.45188,13.2486,0.0493383,0.0136093,0.00226841,0.01,0.00633084,0.00333832,0.00250374,0.0083458,0,0,0.0749626,0.325878,8.61382,468.271,132.698,180000000000000.00,8.02624
568,64.4881,17.3749,1.79646,0.657108,0,2.2045,13.3131,0.0204821,0.049293,0.0010241,0.0168875,0.00796786,6.43E-05,4.82E-05,0.000160691,0,0,0.07,0,4.08415,448.402,1.01235,180000000000000.00,-0.194587
569,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,7.34455,469.673,81.685,180000000000000.00,0.186534
570,66.0122,15.8457,1.31447,0.438798,0.0503585,2.40675,13.7472,0.0481688,0.0252278,0.00172173,0.0095422,0.00691561,0.00216878,0.00162659,0.00542195,0,0,0.0837341,0,6.6888,597.341,86.209,180000000000000.00,0.57155
571,66.6547,16.986,1.03518,0.392125,0.0966621,2.3394,12.2522,0.117663,0.00687875,0.00126975,0.0117575,0.00775749,0.000485014,0.00036376,0.00121253,0,0,0.0963624,3.31287,7.82888,599.023,12.6104,180000000000000.00,13.659
572,65.5141,17.0373,0.964255,1.41783,0.104203,2.38527,12.3632,0.0443162,0.0514704,0.00079486,0.01,0.0078946,0.0002108,0.0001581,0.000527,0,0,0.098419,3.34397,8.46424,611.568,5.0065,180000000000000.00,14.816
573,64.8118,17.0269,1.71501,0.590463,0,2.30817,13.3834,0.0315895,0.0330021,0.00157948,0.0142958,0.00722737,0.00154527,0.00115895,0.00386317,0,0,0.07,0,7.92424,408.451,49.0622,180000000000000.00,-1.08564
574,66.7702,17.0327,0.964543,0.402717,0.11,2.32909,12.0891,0.127454,0.0537048,0.000909134,0.0115457,0.008,0,0,0,0,0,0.1,1.74463,5.26967,505.41,0,643418000000000.00,0.13096
575,64.8482,16.5546,1.45065,0.460977,0.846514,2.44576,13.2223,0.0484782,0.0141798,0.00227173,0.0101902,0.00638046,0.00323909,0.00242932,0.00809772,0,0,0.0757068,0,4.03502,436.799,109.319,180000000000000.00,4.80347
576,65.6349,16.7255,1.38068,0.716386,0.083453,2.43495,12.7687,0.0529641,0.0367884,0.000407983,0.0168403,0.0112475,0.0053094,0.0106188,0.0053094,0.0106188,0.0106188,0.0946906,1.65578,10.5956,601.948,0,1146310000000000.00,4.17144
577,65.0864,17.2238,1.67999,0.649112,0.0763662,2.37089,12.6663,0.0518169,0.004724,2.73E-05,0.0187268,0.0182732,0.00181692,0.00363384,0.00181692,0.00363384,0.00363384,0.139098,0,8.5337,496.917,0,436186000000000.00,6.65895
